target_id,election_date,office,district,district_display,dem_candidate_id,dem_candidate_name,comparison_candidate_id,comparison_candidate_name,comparison_candidate_party,incumbent_status,PVI_N,pvi_year,redistricting_cycle,pvi_coverage,pvi_interpolated_share,pvi_provenance,ballot_timing,money_complete_60d,money_complete_14d,candidate_source,candidate_source_digest,candidate_data_as_of,pvi_source,pvi_source_digest,comparison_rule,comparison_review_status,dem_nominee_basis,dem_nominee_review_status,comparison_nominee_basis,comparison_nominee_review_status
9e9efe8e226394a814f9,2026-11-03,State Representative,Eighteenth Essex,18th Essex,sec-943a2af0669180fe8a3a,Connor A. Murray,sec-3bbfed178519fcf7af1e,Christopher C. Shepley,Republican,No_Incumbent,11.443967835989689,2024,2021,1,0.14568784973046517,2024_precinct_rollup_with_interpolation,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,final_primary_write_in_nominee,confirmed_final_primary_result_only
ca6bc1790b2328a0b83a,2026-11-03,State Representative,Eighteenth Worcester,18th Worcester,sec-b102324d7ed100f05b31,Jenifer Heck,sec-bb6d60a5c6410922a178,Joseph D. McKenna,Republican,GOP_Incumbent,-3.956984636479699,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
723b38ea01b0342e37ec,2026-11-03,State Representative,Eighth Bristol,8th Bristol,sec-55d39aa2cd6923ed9a1f,Steven J. Ouellette,sec-8d9c364f678fdc413944,Jesse W. St. Gelais,Republican,Dem_Incumbent,-4.081328565448505,2024,2021,1,0.333099263805391,2024_precinct_rollup_with_interpolation,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,final_primary_nominee,confirmed_final_primary
52bba433647b238bf94c,2026-11-03,State Representative,Eighth Plymouth,8th Plymouth,sec-257e29dc4cf72e7136b5,Dennis C. Gallagher,sec-451d59a45ef0a1620a85,John Edward Norris,Republican,Dem_Incumbent,-0.162208351773174,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
ba5f5523f7696283dd48,2026-11-03,State Representative,Fifteenth Essex,15th Essex,sec-193a94cbdf8437135465,Ryan M. Hamilton,sec-6e94b802692612ac2695,"Ronald L. Heiseler, III",Republican,Dem_Incumbent,2.998880287133776,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
203ca9e87030d133f6ba,2026-11-03,State Representative,Fifth Bristol,5th Bristol,sec-b87861875f52dd31cdb5,Jamison D. Souza,sec-2a322f332ad8d3ec596b,Justin E. Thurber,Republican,GOP_Incumbent,-1.878615740606693,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
d2871e550f60025e1300,2026-11-03,State Representative,Fifth Essex,5th Essex,sec-ca9f9ed63eed5255e26a,Andrew Francis Robert Tarr,sec-8131ec22b0c055b2aeb5,Christina Delisio,Republican,Dem_Incumbent,17.856161598505516,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,final_primary_nominee,confirmed_final_primary,uncontested_primary,not_required_uncontested_primary
0faa5e2a87ff944ebcb8,2026-11-03,State Representative,Fifth Middlesex,5th Middlesex,sec-5a5271b7b9c5b48b5872,David Paul Linsky,sec-fcb9c5ce3f66bbbdcee1,Luisa A. Cestari,Republican,Dem_Incumbent,25.65450121454077,2024,2021,1,0.084939232395548,2024_precinct_rollup_with_interpolation,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
49a9a96116424e8ab056,2026-11-03,State Representative,Fifth Plymouth,5th Plymouth,sec-6b0ea264870d748f72eb,Lori Childs,sec-334c6d07a2f429d33cd3,David F. DeCoste,Republican,GOP_Incumbent,1.356248003604821,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
ef6ac677052c19890d57,2026-11-03,State Representative,First Middlesex,1st Middlesex,sec-92a291b78446a790e2d8,Margaret R. Scarsdale,sec-c3c4726c5a6eff90c3d6,Christopher M. Lyons,Republican,Dem_Incumbent,4.868594216592303,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,final_primary_nominee,confirmed_final_primary
