target_id,election_date,election_year,office,district,district_display,is_special,role,candidate_id,candidate,cpf_id,filer_name,match_rule,filers_considered,roster_source,roster_error,horizon,window_start,cutoff,available,receipts_cache_identity,receipts,receipts_items,expenditures_cache_identity,expenditures,expenditures_items,race_complete
0faa5e2a87ff944ebcb8,2026-11-03,2026,State Representative,Fifth Middlesex,5th Middlesex,False,opp,sec-fcb9c5ce3f66bbbdcee1,Luisa A. Cestari,19864,"Cestari, Luisa",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__802dc2be2a93152cb897.json,2980.0,9,cache/ocpf/search_items__4250772b2b898045c739.json,0.0,0,True
49a9a96116424e8ab056,2026-11-03,2026,State Representative,Fifth Plymouth,5th Plymouth,False,dem,sec-6b0ea264870d748f72eb,Lori Childs,19460,"Childs, Lori",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__8eda9886d3a6a9d5b887.json,55905.5,405,cache/ocpf/search_items__dc96961cc4c13c37b631.json,53076.94,157,True
49a9a96116424e8ab056,2026-11-03,2026,State Representative,Fifth Plymouth,5th Plymouth,False,opp,sec-334c6d07a2f429d33cd3,David F. DeCoste,15904,"DeCoste, David F.",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__18a6c81f2e394e9c5ef9.json,21840.91,93,cache/ocpf/search_items__74e0831bec716753658c.json,11519.69,25,True
ef6ac677052c19890d57,2026-11-03,2026,State Representative,First Middlesex,1st Middlesex,False,dem,sec-92a291b78446a790e2d8,Margaret R. Scarsdale,17168,"Scarsdale, Margaret",surname,6,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__816a6eb229b8e2a140f3.json,60500.0,299,cache/ocpf/search_items__97c27d96cdb983ee7911.json,21200.68,137,True
ef6ac677052c19890d57,2026-11-03,2026,State Representative,First Middlesex,1st Middlesex,False,opp,sec-c3c4726c5a6eff90c3d6,Christopher M. Lyons,19629,"Lyons, Christopher",surname,6,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__f3fa02a59e5b63e6ac9f.json,14952.65,77,cache/ocpf/search_items__45b8ba615d8301e1d12c.json,11832.84,107,True
1707a8bfee545b787ce4,2026-11-03,2026,State Representative,First Plymouth,1st Plymouth,False,dem,sec-70d2fecff7bc5538902d,Michelle L. Badger,18685,"Badger, Michelle",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__3550fdd274e89c3acd89.json,57594.76,470,cache/ocpf/search_items__a76e081db4e312fc68a1.json,28504.19,164,True
1707a8bfee545b787ce4,2026-11-03,2026,State Representative,First Plymouth,1st Plymouth,False,opp,sec-3a0c4c7bb1dcf7ea0830,"David Michael Golden, Jr.",19628,"Golden, David",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__8f7db5c27506861827ae.json,8262.75,54,cache/ocpf/search_items__95b1c7bc4e8f9624444c.json,9478.87,41,True
0df886b56e6d42e72e07,2026-11-03,2026,State Representative,First Worcester,1st Worcester,False,dem,sec-9f27fa90a396193ebc4c,Krista Suzanne Ferrante,19722,"Ferrante, Krista",surname+given,5,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__65c80ad702309e353a8d.json,22672.52,133,cache/ocpf/search_items__3c3e5c1fe98df9f66823.json,17460.51,34,True
0df886b56e6d42e72e07,2026-11-03,2026,State Representative,First Worcester,1st Worcester,False,opp,sec-89de2dfece551990456c,Stephanie R. Mulroy,19288,"Mulroy, Stephanie",surname,5,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__3028810c01243ab1feb2.json,26904.01,147,cache/ocpf/search_items__adcaa76fc902f57e7327.json,15779.57,80,True
423456885bb439b866f9,2026-11-03,2026,State Representative,Fourth Hampden,4th Hampden,False,dem,sec-96412482065aafcfcb60,Colby Walshe Hoffman,19736,"Hoffman, Colby",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__5f4ead06f58400311951.json,6040.0,39,cache/ocpf/search_items__27f0489a6e739ebdb4f1.json,3091.63,26,True
