variant,parameter,mean,sd,eti89_lb,eti89_ub,fold,definition,component,fold_schedule
baseline,incumbent_dem,12.902455,1.801236,10.062913,15.821049,2017-07-25,current,,election_date>=2014-01-01
baseline,incumbent_gop,-23.581516,2.678639,-27.871233,-19.253216,2017-07-25,current,,election_date>=2014-01-01
baseline,pres_elec,10.826251,1.648614,8.206663,13.452479,2017-07-25,current,,election_date>=2014-01-01
baseline,sigma,14.793927,0.541371,13.945297,15.685764,2017-10-17,current,,election_date>=2014-01-01
baseline,Intercept,-2.930137,1.753645,-5.70659,-0.147198,2017-10-17,current,,election_date>=2014-01-01
baseline,PVI_N,1.635589,0.084008,1.501526,1.769471,2017-10-17,current,,election_date>=2014-01-01
baseline,incumbent_dem,12.233257,1.854428,9.266284,15.192792,2017-10-17,current,,election_date>=2014-01-01
baseline,incumbent_gop,-24.095628,2.783047,-28.553683,-19.673281,2017-10-17,current,,election_date>=2014-01-01
baseline,pres_elec,10.628059,1.694527,7.925751,13.355774,2017-10-17,current,,election_date>=2014-01-01
baseline,sigma,14.7708,0.558469,13.897228,15.667167,2017-11-07,current,,election_date>=2014-01-01
baseline,Intercept,-2.850614,1.732764,-5.679061,-0.098275,2017-11-07,current,,election_date>=2014-01-01
baseline,PVI_N,1.635087,0.086222,1.496232,1.772383,2017-11-07,current,,election_date>=2014-01-01
baseline,incumbent_dem,12.134918,1.813885,9.265125,15.026498,2017-11-07,current,,election_date>=2014-01-01
baseline,incumbent_gop,-24.244272,2.71918,-28.601502,-19.908299,2017-11-07,current,,election_date>=2014-01-01
baseline,pres_elec,10.701213,1.684641,7.948686,13.353478,2017-11-07,current,,election_date>=2014-01-01
baseline,sigma,14.780172,0.557424,13.923658,15.704425,2017-12-05,current,,election_date>=2014-01-01
baseline,Intercept,-2.749837,1.720367,-5.504932,0.01761,2017-12-05,current,,election_date>=2014-01-01
baseline,PVI_N,1.643081,0.084778,1.509776,1.776647,2017-12-05,current,,election_date>=2014-01-01
baseline,incumbent_dem,12.002629,1.832227,9.065041,14.911529,2017-12-05,current,,election_date>=2014-01-01
baseline,incumbent_gop,-24.264443,2.726009,-28.58789,-19.806012,2017-12-05,current,,election_date>=2014-01-01
baseline,pres_elec,10.576642,1.69723,7.868669,13.310282,2017-12-05,current,,election_date>=2014-01-01
baseline,sigma,14.746771,0.548956,13.886409,15.647261,2018-04-03,current,,election_date>=2014-01-01
baseline,Intercept,-2.811351,1.705199,-5.545568,-0.062689,2018-04-03,current,,election_date>=2014-01-01
baseline,PVI_N,1.64458,0.085547,1.505619,1.778613,2018-04-03,current,,election_date>=2014-01-01
baseline,incumbent_dem,12.04313,1.80445,9.228302,14.940635,2018-04-03,current,,election_date>=2014-01-01
baseline,incumbent_gop,-24.19255,2.676768,-28.392254,-19.927016,2018-04-03,current,,election_date>=2014-01-01
baseline,pres_elec,10.555115,1.659734,7.886929,13.231495,2018-04-03,current,,election_date>=2014-01-01
baseline,sigma,14.742584,0.538129,13.918268,15.632521,2018-11-06,current,,election_date>=2014-01-01
baseline,Intercept,-2.837939,1.707448,-5.564598,-0.133222,2018-11-06,current,,election_date>=2014-01-01
baseline,PVI_N,1.6458,0.085803,1.509279,1.781348,2018-11-06,current,,election_date>=2014-01-01
baseline,incumbent_dem,12.056437,1.818051,9.110712,14.96559,2018-11-06,current,,election_date>=2014-01-01
baseline,incumbent_gop,-24.226489,2.658218,-28.572675,-19.982294,2018-11-06,current,,election_date>=2014-01-01
baseline,pres_elec,10.572727,1.672123,7.863797,13.24145,2018-11-06,current,,election_date>=2014-01-01
baseline,sigma,15.318413,0.520639,14.504232,16.177172,2020-03-03,current,,election_date>=2014-01-01
baseline,Intercept,0.287876,1.635863,-2.291788,2.892782,2020-03-03,current,,election_date>=2014-01-01
baseline,PVI_N,1.622532,0.083075,1.491086,1.756819,2020-03-03,current,,election_date>=2014-01-01
baseline,incumbent_dem,11.51065,1.738279,8.706547,14.280051,2020-03-03,current,,election_date>=2014-01-01
baseline,incumbent_gop,-22.485201,2.400886,-26.374175,-18.690275,2020-03-03,current,,election_date>=2014-01-01
baseline,pres_elec,7.484398,1.617089,4.925482,10.079913,2020-03-03,current,,election_date>=2014-01-01
baseline,sigma,15.446873,0.518977,14.641061,16.308268,2020-05-19,current,,election_date>=2014-01-01
baseline,Intercept,0.628987,1.649559,-1.958367,3.316965,2020-05-19,current,,election_date>=2014-01-01
baseline,PVI_N,1.625889,0.082975,1.494849,1.758616,2020-05-19,current,,election_date>=2014-01-01
baseline,incumbent_dem,11.145827,1.782927,8.233113,13.997268,2020-05-19,current,,election_date>=2014-01-01
baseline,incumbent_gop,-22.789862,2.41659,-26.647567,-18.875278,2020-05-19,current,,election_date>=2014-01-01
baseline,pres_elec,7.413516,1.670899,4.754062,10.094723,2020-05-19,current,,election_date>=2014-01-01
baseline,sigma,15.439554,0.520454,14.637102,16.30467,2020-06-02,current,,election_date>=2014-01-01
baseline,Intercept,0.930531,1.642038,-1.703112,3.557952,2020-06-02,current,,election_date>=2014-01-01
baseline,PVI_N,1.621185,0.082405,1.486802,1.751796,2020-06-02,current,,election_date>=2014-01-01
baseline,incumbent_dem,10.921772,1.753362,8.152415,13.755662,2020-06-02,current,,election_date>=2014-01-01
baseline,incumbent_gop,-23.04829,2.421008,-26.989683,-19.172958,2020-06-02,current,,election_date>=2014-01-01
baseline,pres_elec,7.355981,1.62785,4.750137,9.996612,2020-06-02,current,,election_date>=2014-01-01
baseline,sigma,15.460691,0.517014,14.664269,16.312,2020-11-03,current,,election_date>=2014-01-01
baseline,Intercept,1.213262,1.645688,-1.407827,3.833273,2020-11-03,current,,election_date>=2014-01-01
baseline,PVI_N,1.623479,0.084527,1.488955,1.759322,2020-11-03,current,,election_date>=2014-01-01
baseline,incumbent_dem,10.629061,1.780264,7.763974,13.501922,2020-11-03,current,,election_date>=2014-01-01
baseline,incumbent_gop,-23.28609,2.400253,-27.116285,-19.472832,2020-11-03,current,,election_date>=2014-01-01
baseline,pres_elec,7.282044,1.627201,4.653803,9.870656,2020-11-03,current,,election_date>=2014-01-01
baseline,sigma,15.023676,0.479719,14.280149,15.822228,2021-03-30,current,,election_date>=2014-01-01
baseline,Intercept,1.180259,1.511529,-1.247595,3.56165,2021-03-30,current,,election_date>=2014-01-01
baseline,PVI_N,1.62282,0.076792,1.501766,1.743883,2021-03-30,current,,election_date>=2014-01-01
baseline,incumbent_dem,10.630659,1.613498,8.0365,13.203686,2021-03-30,current,,election_date>=2014-01-01
baseline,incumbent_gop,-22.968431,2.153811,-26.412738,-19.495206,2021-03-30,current,,election_date>=2014-01-01
baseline,pres_elec,7.369309,1.433378,5.059538,9.665947,2021-03-30,current,,election_date>=2014-01-01
baseline,sigma,15.061281,0.491778,14.29953,15.877006,2021-11-30,current,,election_date>=2014-01-01
baseline,Intercept,1.332838,1.523889,-1.151748,3.817554,2021-11-30,current,,election_date>=2014-01-01
baseline,PVI_N,1.627531,0.077333,1.504981,1.748424,2021-11-30,current,,election_date>=2014-01-01
baseline,incumbent_dem,10.447391,1.627217,7.829389,13.003146,2021-11-30,current,,election_date>=2014-01-01
baseline,incumbent_gop,-23.090346,2.160836,-26.5455,-19.688052,2021-11-30,current,,election_date>=2014-01-01
baseline,pres_elec,7.327126,1.461155,4.973741,9.630374,2021-11-30,current,,election_date>=2014-01-01
baseline,sigma,15.055534,0.476473,14.310729,15.834547,2022-11-08,current,,election_date>=2014-01-01
baseline,Intercept,1.269646,1.541515,-1.159847,3.728595,2022-11-08,current,,election_date>=2014-01-01
baseline,PVI_N,1.627515,0.077457,1.504627,1.754178,2022-11-08,current,,election_date>=2014-01-01
baseline,incumbent_dem,10.516256,1.667922,7.814057,13.170734,2022-11-08,current,,election_date>=2014-01-01
baseline,incumbent_gop,-23.030625,2.167394,-26.511936,-19.566725,2022-11-08,current,,election_date>=2014-01-01
baseline,pres_elec,7.334737,1.455634,4.994935,9.692181,2022-11-08,current,,election_date>=2014-01-01
baseline,sigma,14.835338,0.443904,14.147634,15.558445,2023-11-07,current,,election_date>=2014-01-01
baseline,Intercept,1.537959,1.385834,-0.689226,3.728059,2023-11-07,current,,election_date>=2014-01-01
baseline,PVI_N,1.652948,0.07322,1.533771,1.768571,2023-11-07,current,,election_date>=2014-01-01
baseline,incumbent_dem,10.046917,1.473898,7.711173,12.424383,2023-11-07,current,,election_date>=2014-01-01
baseline,incumbent_gop,-23.432748,2.018892,-26.62658,-20.168551,2023-11-07,current,,election_date>=2014-01-01
