definition,variant,bin,bin_lower,bin_upper,n_races,small_sample,mean_forecast,observed_frequency,fold_schedule
current,baseline_year,0.2-0.3,0.2,0.3,14,False,0.251705,0.214286,election_date>=2014-01-01
current,baseline_year,0.3-0.4,0.3,0.4,9,True,0.354722,0.222222,election_date>=2014-01-01
current,baseline_year,0.4-0.5,0.4,0.5,14,False,0.443286,0.357143,election_date>=2014-01-01
current,baseline_year,0.5-0.6,0.5,0.6,19,False,0.553197,0.684211,election_date>=2014-01-01
current,baseline_year,0.6-0.7,0.6,0.7,15,False,0.653575,0.866667,election_date>=2014-01-01
current,baseline_year,0.7-0.8,0.7,0.8,45,False,0.753414,0.933333,election_date>=2014-01-01
current,baseline_year,0.8-0.9,0.8,0.9,55,False,0.854916,0.909091,election_date>=2014-01-01
current,baseline_year,0.9-1.0,0.9,1.0,174,False,0.969062,0.994253,election_date>=2014-01-01
current,baseline_national_env,0.0-0.1,0.0,0.1,36,False,0.052924,0.0,election_date>=2014-01-01
current,baseline_national_env,0.1-0.2,0.1,0.2,38,False,0.144674,0.105263,election_date>=2014-01-01
current,baseline_national_env,0.2-0.3,0.2,0.3,15,False,0.24125,0.133333,election_date>=2014-01-01
current,baseline_national_env,0.3-0.4,0.3,0.4,15,False,0.346483,0.266667,election_date>=2014-01-01
current,baseline_national_env,0.4-0.5,0.4,0.5,11,False,0.448705,0.454545,election_date>=2014-01-01
current,baseline_national_env,0.5-0.6,0.5,0.6,12,False,0.556802,0.666667,election_date>=2014-01-01
current,baseline_national_env,0.6-0.7,0.6,0.7,30,False,0.661308,0.766667,election_date>=2014-01-01
current,baseline_national_env,0.7-0.8,0.7,0.8,27,False,0.743944,0.888889,election_date>=2014-01-01
current,baseline_national_env,0.8-0.9,0.8,0.9,45,False,0.855658,0.911111,election_date>=2014-01-01
current,baseline_national_env,0.9-1.0,0.9,1.0,195,False,0.973216,0.989744,election_date>=2014-01-01
current,baseline_money_share,0.0-0.1,0.0,0.1,66,False,0.035867,0.030303,election_date>=2014-01-01
current,baseline_money_share,0.1-0.2,0.1,0.2,17,False,0.145485,0.117647,election_date>=2014-01-01
current,baseline_money_share,0.2-0.3,0.2,0.3,17,False,0.23864,0.352941,election_date>=2014-01-01
current,baseline_money_share,0.3-0.4,0.3,0.4,15,False,0.337958,0.466667,election_date>=2014-01-01
current,baseline_money_share,0.4-0.5,0.4,0.5,19,False,0.445842,0.684211,election_date>=2014-01-01
current,baseline_money_share,0.5-0.6,0.5,0.6,13,False,0.558221,0.846154,election_date>=2014-01-01
current,baseline_money_share,0.6-0.7,0.6,0.7,20,False,0.655919,0.9,election_date>=2014-01-01
current,baseline_money_share,0.7-0.8,0.7,0.8,22,False,0.747312,0.818182,election_date>=2014-01-01
current,baseline_money_share,0.8-0.9,0.8,0.9,21,False,0.856482,1.0,election_date>=2014-01-01
current,baseline_money_share,0.9-1.0,0.9,1.0,199,False,0.983449,0.984925,election_date>=2014-01-01
current,baseline_money_logratio,0.0-0.1,0.0,0.1,56,False,0.037141,0.017857,election_date>=2014-01-01
current,baseline_money_logratio,0.1-0.2,0.1,0.2,30,False,0.145467,0.066667,election_date>=2014-01-01
current,baseline_money_logratio,0.2-0.3,0.2,0.3,13,False,0.253529,0.230769,election_date>=2014-01-01
current,baseline_money_logratio,0.3-0.4,0.3,0.4,12,False,0.34575,0.5,election_date>=2014-01-01
current,baseline_money_logratio,0.4-0.5,0.4,0.5,9,True,0.447931,0.777778,election_date>=2014-01-01
current,baseline_money_logratio,0.5-0.6,0.5,0.6,19,False,0.553487,0.736842,election_date>=2014-01-01
current,baseline_money_logratio,0.6-0.7,0.6,0.7,20,False,0.655056,0.85,election_date>=2014-01-01
current,baseline_money_logratio,0.7-0.8,0.7,0.8,32,False,0.745086,0.9375,election_date>=2014-01-01
current,baseline_money_logratio,0.8-0.9,0.8,0.9,30,False,0.854475,0.9,election_date>=2014-01-01
current,baseline_money_logratio,0.9-1.0,0.9,1.0,188,False,0.981124,0.994681,election_date>=2014-01-01
current,baseline_money_diff,0.0-0.1,0.0,0.1,52,False,0.047339,0.019231,election_date>=2014-01-01
current,baseline_money_diff,0.1-0.2,0.1,0.2,27,False,0.145856,0.037037,election_date>=2014-01-01
current,baseline_money_diff,0.2-0.3,0.2,0.3,19,False,0.247355,0.263158,election_date>=2014-01-01
current,baseline_money_diff,0.3-0.4,0.3,0.4,12,False,0.356667,0.416667,election_date>=2014-01-01
current,baseline_money_diff,0.4-0.5,0.4,0.5,10,False,0.454812,0.8,election_date>=2014-01-01
current,baseline_money_diff,0.5-0.6,0.5,0.6,15,False,0.559367,0.666667,election_date>=2014-01-01
