definition,variant,bin,bin_lower,bin_upper,n_races,small_sample,mean_forecast,observed_frequency,fold_schedule
two_party,baseline_money_logratio,0.6-0.7,0.6,0.7,16,False,0.652281,0.8125,election_date>=2014-01-01
two_party,baseline_money_logratio,0.7-0.8,0.7,0.8,28,False,0.747768,0.892857,election_date>=2014-01-01
two_party,baseline_money_logratio,0.8-0.9,0.8,0.9,25,False,0.84901,0.92,election_date>=2014-01-01
two_party,baseline_money_logratio,0.9-1.0,0.9,1.0,134,False,0.978937,0.985075,election_date>=2014-01-01
two_party,baseline_money_diff,0.0-0.1,0.0,0.1,54,False,0.033914,0.018519,election_date>=2014-01-01
two_party,baseline_money_diff,0.1-0.2,0.1,0.2,26,False,0.139957,0.192308,election_date>=2014-01-01
two_party,baseline_money_diff,0.2-0.3,0.2,0.3,11,False,0.240989,0.272727,election_date>=2014-01-01
two_party,baseline_money_diff,0.3-0.4,0.3,0.4,11,False,0.357886,0.727273,election_date>=2014-01-01
two_party,baseline_money_diff,0.4-0.5,0.4,0.5,11,False,0.45308,0.545455,election_date>=2014-01-01
two_party,baseline_money_diff,0.5-0.6,0.5,0.6,13,False,0.560904,0.769231,election_date>=2014-01-01
two_party,baseline_money_diff,0.6-0.7,0.6,0.7,22,False,0.657227,0.818182,election_date>=2014-01-01
two_party,baseline_money_diff,0.7-0.8,0.7,0.8,26,False,0.753755,0.923077,election_date>=2014-01-01
two_party,baseline_money_diff,0.8-0.9,0.8,0.9,31,False,0.846153,0.903226,election_date>=2014-01-01
two_party,baseline_money_diff,0.9-1.0,0.9,1.0,128,False,0.974706,0.984375,election_date>=2014-01-01
two_party,baseline_money_both,0.0-0.1,0.0,0.1,64,False,0.037531,0.015625,election_date>=2014-01-01
two_party,baseline_money_both,0.1-0.2,0.1,0.2,18,False,0.157507,0.277778,election_date>=2014-01-01
two_party,baseline_money_both,0.2-0.3,0.2,0.3,9,True,0.232444,0.333333,election_date>=2014-01-01
two_party,baseline_money_both,0.3-0.4,0.3,0.4,11,False,0.357466,0.545455,election_date>=2014-01-01
two_party,baseline_money_both,0.4-0.5,0.4,0.5,13,False,0.4525,0.615385,election_date>=2014-01-01
two_party,baseline_money_both,0.5-0.6,0.5,0.6,17,False,0.551779,0.823529,election_date>=2014-01-01
two_party,baseline_money_both,0.6-0.7,0.6,0.7,14,False,0.660732,1.0,election_date>=2014-01-01
two_party,baseline_money_both,0.7-0.8,0.7,0.8,29,False,0.74794,0.827586,election_date>=2014-01-01
two_party,baseline_money_both,0.8-0.9,0.8,0.9,25,False,0.85393,0.88,election_date>=2014-01-01
two_party,baseline_money_both,0.9-1.0,0.9,1.0,133,False,0.980638,0.992481,election_date>=2014-01-01
two_party,baseline_money_logratio_wide,0.0-0.1,0.0,0.1,56,False,0.032145,0.017857,election_date>=2014-01-01
two_party,baseline_money_logratio_wide,0.1-0.2,0.1,0.2,25,False,0.14813,0.16,election_date>=2014-01-01
two_party,baseline_money_logratio_wide,0.2-0.3,0.2,0.3,12,False,0.249281,0.416667,election_date>=2014-01-01
two_party,baseline_money_logratio_wide,0.3-0.4,0.3,0.4,8,True,0.350281,0.625,election_date>=2014-01-01
two_party,baseline_money_logratio_wide,0.4-0.5,0.4,0.5,11,False,0.444091,0.545455,election_date>=2014-01-01
two_party,baseline_money_logratio_wide,0.5-0.6,0.5,0.6,14,False,0.555,0.857143,election_date>=2014-01-01
two_party,baseline_money_logratio_wide,0.6-0.7,0.6,0.7,18,False,0.649194,0.777778,election_date>=2014-01-01
two_party,baseline_money_logratio_wide,0.7-0.8,0.7,0.8,26,False,0.757288,0.923077,election_date>=2014-01-01
two_party,baseline_money_logratio_wide,0.8-0.9,0.8,0.9,32,False,0.848047,0.90625,election_date>=2014-01-01
two_party,baseline_money_logratio_wide,0.9-1.0,0.9,1.0,131,False,0.976491,0.984733,election_date>=2014-01-01
two_party,baseline_spend_share,0.0-0.1,0.0,0.1,59,False,0.025744,0.033898,election_date>=2014-01-01
two_party,baseline_spend_share,0.1-0.2,0.1,0.2,17,False,0.144081,0.176471,election_date>=2014-01-01
two_party,baseline_spend_share,0.2-0.3,0.2,0.3,11,False,0.248568,0.272727,election_date>=2014-01-01
two_party,baseline_spend_share,0.3-0.4,0.3,0.4,22,False,0.346392,0.590909,election_date>=2014-01-01
two_party,baseline_spend_share,0.4-0.5,0.4,0.5,13,False,0.446279,0.615385,election_date>=2014-01-01
two_party,baseline_spend_share,0.5-0.6,0.5,0.6,12,False,0.540083,0.75,election_date>=2014-01-01
two_party,baseline_spend_share,0.6-0.7,0.6,0.7,14,False,0.6515,0.857143,election_date>=2014-01-01
two_party,baseline_spend_share,0.7-0.8,0.7,0.8,17,False,0.747272,0.941176,election_date>=2014-01-01
two_party,baseline_spend_share,0.8-0.9,0.8,0.9,29,False,0.848647,0.965517,election_date>=2014-01-01
two_party,baseline_spend_share,0.9-1.0,0.9,1.0,139,False,0.978747,0.971223,election_date>=2014-01-01
two_party,baseline_spend_logratio,0.0-0.1,0.0,0.1,57,False,0.029864,0.017544,election_date>=2014-01-01
two_party,baseline_spend_logratio,0.1-0.2,0.1,0.2,24,False,0.149755,0.166667,election_date>=2014-01-01
two_party,baseline_spend_logratio,0.2-0.3,0.2,0.3,10,False,0.244525,0.4,election_date>=2014-01-01
two_party,baseline_spend_logratio,0.3-0.4,0.3,0.4,8,True,0.34775,0.375,election_date>=2014-01-01
two_party,baseline_spend_logratio,0.4-0.5,0.4,0.5,13,False,0.446548,0.692308,election_date>=2014-01-01
two_party,baseline_spend_logratio,0.5-0.6,0.5,0.6,15,False,0.543375,0.733333,election_date>=2014-01-01
two_party,baseline_spend_logratio,0.6-0.7,0.6,0.7,18,False,0.659632,0.833333,election_date>=2014-01-01
two_party,baseline_spend_logratio,0.7-0.8,0.7,0.8,25,False,0.75644,0.92,election_date>=2014-01-01
two_party,baseline_spend_logratio,0.8-0.9,0.8,0.9,31,False,0.854202,0.935484,election_date>=2014-01-01
two_party,baseline_spend_logratio,0.9-1.0,0.9,1.0,132,False,0.978,0.984848,election_date>=2014-01-01
two_party,baseline_spend_diff,0.0-0.1,0.0,0.1,51,False,0.031174,0.019608,election_date>=2014-01-01
two_party,baseline_spend_diff,0.1-0.2,0.1,0.2,30,False,0.147271,0.166667,election_date>=2014-01-01
two_party,baseline_spend_diff,0.2-0.3,0.2,0.3,11,False,0.253261,0.454545,election_date>=2014-01-01
two_party,baseline_spend_diff,0.3-0.4,0.3,0.4,6,True,0.360771,0.5,election_date>=2014-01-01
two_party,baseline_spend_diff,0.4-0.5,0.4,0.5,13,False,0.451875,0.692308,election_date>=2014-01-01
two_party,baseline_spend_diff,0.5-0.6,0.5,0.6,10,False,0.535462,0.7,election_date>=2014-01-01
two_party,baseline_spend_diff,0.6-0.7,0.6,0.7,26,False,0.645899,0.846154,election_date>=2014-01-01
two_party,baseline_spend_diff,0.7-0.8,0.7,0.8,28,False,0.753871,0.857143,election_date>=2014-01-01
two_party,baseline_spend_diff,0.8-0.9,0.8,0.9,33,False,0.851659,0.909091,election_date>=2014-01-01
two_party,baseline_spend_diff,0.9-1.0,0.9,1.0,125,False,0.972445,0.984,election_date>=2014-01-01
two_party,baseline_spend_both,0.0-0.1,0.0,0.1,57,False,0.030221,0.017544,election_date>=2014-01-01
two_party,baseline_spend_both,0.1-0.2,0.1,0.2,24,False,0.15274,0.166667,election_date>=2014-01-01
two_party,baseline_spend_both,0.2-0.3,0.2,0.3,11,False,0.249761,0.454545,election_date>=2014-01-01
two_party,baseline_spend_both,0.3-0.4,0.3,0.4,7,True,0.350268,0.285714,election_date>=2014-01-01
two_party,baseline_spend_both,0.4-0.5,0.4,0.5,13,False,0.444692,0.769231,election_date>=2014-01-01
two_party,baseline_spend_both,0.5-0.6,0.5,0.6,15,False,0.545717,0.666667,election_date>=2014-01-01
two_party,baseline_spend_both,0.6-0.7,0.6,0.7,16,False,0.655547,0.875,election_date>=2014-01-01
two_party,baseline_spend_both,0.7-0.8,0.7,0.8,28,False,0.753027,0.892857,election_date>=2014-01-01
two_party,baseline_spend_both,0.8-0.9,0.8,0.9,30,False,0.854671,0.933333,election_date>=2014-01-01
two_party,baseline_spend_both,0.9-1.0,0.9,1.0,132,False,0.97773,0.984848,election_date>=2014-01-01
two_party,baseline_spend_logratio_wide,0.0-0.1,0.0,0.1,57,False,0.026987,0.017544,election_date>=2014-01-01
two_party,baseline_spend_logratio_wide,0.1-0.2,0.1,0.2,22,False,0.14575,0.227273,election_date>=2014-01-01
two_party,baseline_spend_logratio_wide,0.2-0.3,0.2,0.3,15,False,0.248517,0.333333,election_date>=2014-01-01
two_party,baseline_spend_logratio_wide,0.3-0.4,0.3,0.4,4,True,0.355031,0.5,election_date>=2014-01-01
two_party,baseline_spend_logratio_wide,0.4-0.5,0.4,0.5,15,False,0.449483,0.6,election_date>=2014-01-01
two_party,baseline_spend_logratio_wide,0.5-0.6,0.5,0.6,10,False,0.560837,0.8,election_date>=2014-01-01
two_party,baseline_spend_logratio_wide,0.6-0.7,0.6,0.7,20,False,0.649694,0.8,election_date>=2014-01-01
two_party,baseline_spend_logratio_wide,0.7-0.8,0.7,0.8,23,False,0.759353,0.869565,election_date>=2014-01-01
two_party,baseline_spend_logratio_wide,0.8-0.9,0.8,0.9,30,False,0.848575,0.933333,election_date>=2014-01-01
two_party,baseline_spend_logratio_wide,0.9-1.0,0.9,1.0,137,False,0.973782,0.985401,election_date>=2014-01-01
two_party_or_strongest,special_pooled_term,0.0-0.1,0.0,0.1,42,False,0.042685,0.02381,election_date>=2014-01-01
two_party_or_strongest,special_pooled_term,0.1-0.2,0.1,0.2,28,False,0.145335,0.035714,election_date>=2014-01-01
two_party_or_strongest,special_pooled_term,0.2-0.3,0.2,0.3,17,False,0.23636,0.294118,election_date>=2014-01-01
two_party_or_strongest,special_pooled_term,0.3-0.4,0.3,0.4,11,False,0.330727,0.454545,election_date>=2014-01-01
two_party_or_strongest,special_pooled_term,0.4-0.5,0.4,0.5,10,False,0.445675,0.5,election_date>=2014-01-01
two_party_or_strongest,special_pooled_term,0.5-0.6,0.5,0.6,15,False,0.552608,0.6,election_date>=2014-01-01
two_party_or_strongest,special_pooled_term,0.6-0.7,0.6,0.7,31,False,0.658448,0.806452,election_date>=2014-01-01
two_party_or_strongest,special_pooled_term,0.7-0.8,0.7,0.8,33,False,0.754583,0.909091,election_date>=2014-01-01
two_party_or_strongest,special_pooled_term,0.8-0.9,0.8,0.9,47,False,0.849606,0.914894,election_date>=2014-01-01
two_party_or_strongest,special_pooled_term,0.9-1.0,0.9,1.0,179,False,0.972456,0.994413,election_date>=2014-01-01
two_party_or_strongest,special_pooled_plain,0.0-0.1,0.0,0.1,41,False,0.043274,0.02439,election_date>=2014-01-01
two_party_or_strongest,special_pooled_plain,0.1-0.2,0.1,0.2,29,False,0.142362,0.034483,election_date>=2014-01-01
two_party_or_strongest,special_pooled_plain,0.2-0.3,0.2,0.3,19,False,0.254039,0.263158,election_date>=2014-01-01
two_party_or_strongest,special_pooled_plain,0.3-0.4,0.3,0.4,9,True,0.332639,0.555556,election_date>=2014-01-01
two_party_or_strongest,special_pooled_plain,0.4-0.5,0.4,0.5,10,False,0.454038,0.5,election_date>=2014-01-01
two_party_or_strongest,special_pooled_plain,0.5-0.6,0.5,0.6,16,False,0.542227,0.5,election_date>=2014-01-01
two_party_or_strongest,special_pooled_plain,0.6-0.7,0.6,0.7,31,False,0.66654,0.903226,election_date>=2014-01-01
two_party_or_strongest,special_pooled_plain,0.7-0.8,0.7,0.8,30,False,0.753504,0.9,election_date>=2014-01-01
two_party_or_strongest,special_pooled_plain,0.8-0.9,0.8,0.9,51,False,0.85239,0.901961,election_date>=2014-01-01
two_party_or_strongest,special_pooled_plain,0.9-1.0,0.9,1.0,177,False,0.973061,0.99435,election_date>=2014-01-01
two_party_or_strongest,special_split,0.0-0.1,0.0,0.1,48,False,0.039964,0.020833,election_date>=2014-01-01
two_party_or_strongest,special_split,0.1-0.2,0.1,0.2,24,False,0.142427,0.041667,election_date>=2014-01-01
two_party_or_strongest,special_split,0.2-0.3,0.2,0.3,16,False,0.242766,0.3125,election_date>=2014-01-01
two_party_or_strongest,special_split,0.3-0.4,0.3,0.4,10,False,0.346788,0.3,election_date>=2014-01-01
two_party_or_strongest,special_split,0.4-0.5,0.4,0.5,9,True,0.45475,0.555556,election_date>=2014-01-01
two_party_or_strongest,special_split,0.5-0.6,0.5,0.6,11,False,0.551818,0.636364,election_date>=2014-01-01
two_party_or_strongest,special_split,0.6-0.7,0.6,0.7,25,False,0.658645,0.76,election_date>=2014-01-01
two_party_or_strongest,special_split,0.7-0.8,0.7,0.8,36,False,0.753264,0.916667,election_date>=2014-01-01
two_party_or_strongest,special_split,0.8-0.9,0.8,0.9,44,False,0.854082,0.909091,election_date>=2014-01-01
two_party_or_strongest,special_split,0.9-1.0,0.9,1.0,190,False,0.973768,0.989474,election_date>=2014-01-01
two_party_or_strongest,baseline_num_candidates,0.0-0.1,0.0,0.1,41,False,0.042909,0.02439,election_date>=2014-01-01
two_party_or_strongest,baseline_num_candidates,0.1-0.2,0.1,0.2,29,False,0.143513,0.068966,election_date>=2014-01-01
two_party_or_strongest,baseline_num_candidates,0.2-0.3,0.2,0.3,17,False,0.24789,0.294118,election_date>=2014-01-01
two_party_or_strongest,baseline_num_candidates,0.3-0.4,0.3,0.4,11,False,0.32325,0.363636,election_date>=2014-01-01
two_party_or_strongest,baseline_num_candidates,0.4-0.5,0.4,0.5,11,False,0.43867,0.545455,election_date>=2014-01-01
two_party_or_strongest,baseline_num_candidates,0.5-0.6,0.5,0.6,19,False,0.553704,0.526316,election_date>=2014-01-01
two_party_or_strongest,baseline_num_candidates,0.6-0.7,0.6,0.7,23,False,0.666636,0.956522,election_date>=2014-01-01
two_party_or_strongest,baseline_num_candidates,0.7-0.8,0.7,0.8,35,False,0.750189,0.885714,election_date>=2014-01-01
two_party_or_strongest,baseline_num_candidates,0.8-0.9,0.8,0.9,49,False,0.854839,0.897959,election_date>=2014-01-01
two_party_or_strongest,baseline_num_candidates,0.9-1.0,0.9,1.0,178,False,0.972888,0.994382,election_date>=2014-01-01
two_party_or_strongest,baseline_pres_incumbent,0.0-0.1,0.0,0.1,40,False,0.055934,0.025,election_date>=2014-01-01
two_party_or_strongest,baseline_pres_incumbent,0.1-0.2,0.1,0.2,31,False,0.138964,0.064516,election_date>=2014-01-01
two_party_or_strongest,baseline_pres_incumbent,0.2-0.3,0.2,0.3,15,False,0.256075,0.266667,election_date>=2014-01-01
two_party_or_strongest,baseline_pres_incumbent,0.3-0.4,0.3,0.4,15,False,0.344267,0.333333,election_date>=2014-01-01
two_party_or_strongest,baseline_pres_incumbent,0.4-0.5,0.4,0.5,8,True,0.459672,0.375,election_date>=2014-01-01
two_party_or_strongest,baseline_pres_incumbent,0.5-0.6,0.5,0.6,15,False,0.539867,0.666667,election_date>=2014-01-01
two_party_or_strongest,baseline_pres_incumbent,0.6-0.7,0.6,0.7,30,False,0.655004,0.9,election_date>=2014-01-01
two_party_or_strongest,baseline_pres_incumbent,0.7-0.8,0.7,0.8,35,False,0.755504,0.885714,election_date>=2014-01-01
two_party_or_strongest,baseline_pres_incumbent,0.8-0.9,0.8,0.9,46,False,0.853533,0.913043,election_date>=2014-01-01
two_party_or_strongest,baseline_pres_incumbent,0.9-1.0,0.9,1.0,178,False,0.972983,0.994382,election_date>=2014-01-01
two_party_or_strongest,baseline_year,0.0-0.1,0.0,0.1,45,False,0.059147,0.0,election_date>=2014-01-01
two_party_or_strongest,baseline_year,0.1-0.2,0.1,0.2,23,False,0.138364,0.130435,election_date>=2014-01-01
two_party_or_strongest,baseline_year,0.2-0.3,0.2,0.3,11,False,0.231898,0.090909,election_date>=2014-01-01
two_party_or_strongest,baseline_year,0.3-0.4,0.3,0.4,14,False,0.341071,0.142857,election_date>=2014-01-01
two_party_or_strongest,baseline_year,0.4-0.5,0.4,0.5,16,False,0.442117,0.5,election_date>=2014-01-01
two_party_or_strongest,baseline_year,0.5-0.6,0.5,0.6,18,False,0.555493,0.722222,election_date>=2014-01-01
two_party_or_strongest,baseline_year,0.6-0.7,0.6,0.7,17,False,0.655235,0.823529,election_date>=2014-01-01
two_party_or_strongest,baseline_year,0.7-0.8,0.7,0.8,45,False,0.752511,0.955556,election_date>=2014-01-01
two_party_or_strongest,baseline_year,0.8-0.9,0.8,0.9,55,False,0.856159,0.890909,election_date>=2014-01-01
two_party_or_strongest,baseline_year,0.9-1.0,0.9,1.0,169,False,0.970735,1.0,election_date>=2014-01-01
two_party_or_strongest,baseline_money_share,0.0-0.1,0.0,0.1,58,False,0.03364,0.017241,election_date>=2014-01-01
two_party_or_strongest,baseline_money_share,0.1-0.2,0.1,0.2,17,False,0.1425,0.176471,election_date>=2014-01-01
two_party_or_strongest,baseline_money_share,0.2-0.3,0.2,0.3,18,False,0.239826,0.388889,election_date>=2014-01-01
two_party_or_strongest,baseline_money_share,0.3-0.4,0.3,0.4,13,False,0.33674,0.384615,election_date>=2014-01-01
two_party_or_strongest,baseline_money_share,0.4-0.5,0.4,0.5,21,False,0.449393,0.761905,election_date>=2014-01-01
two_party_or_strongest,baseline_money_share,0.5-0.6,0.5,0.6,9,True,0.552819,0.777778,election_date>=2014-01-01
two_party_or_strongest,baseline_money_share,0.6-0.7,0.6,0.7,19,False,0.647507,0.894737,election_date>=2014-01-01
two_party_or_strongest,baseline_money_share,0.7-0.8,0.7,0.8,22,False,0.745023,0.909091,election_date>=2014-01-01
two_party_or_strongest,baseline_money_share,0.8-0.9,0.8,0.9,22,False,0.857528,0.909091,election_date>=2014-01-01
two_party_or_strongest,baseline_money_share,0.9-1.0,0.9,1.0,199,False,0.984707,0.984925,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio,0.0-0.1,0.0,0.1,52,False,0.036615,0.019231,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio,0.1-0.2,0.1,0.2,25,False,0.148445,0.08,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio,0.2-0.3,0.2,0.3,12,False,0.239823,0.333333,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio,0.3-0.4,0.3,0.4,12,False,0.347094,0.5,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio,0.4-0.5,0.4,0.5,11,False,0.452182,0.545455,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio,0.5-0.6,0.5,0.6,17,False,0.546846,0.823529,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio,0.6-0.7,0.6,0.7,19,False,0.654908,0.842105,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio,0.7-0.8,0.7,0.8,31,False,0.744984,0.903226,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio,0.8-0.9,0.8,0.9,28,False,0.851813,0.892857,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio,0.9-1.0,0.9,1.0,191,False,0.981099,0.994764,election_date>=2014-01-01
two_party_or_strongest,baseline_money_diff,0.0-0.1,0.0,0.1,48,False,0.045737,0.020833,election_date>=2014-01-01
two_party_or_strongest,baseline_money_diff,0.1-0.2,0.1,0.2,26,False,0.15124,0.038462,election_date>=2014-01-01
two_party_or_strongest,baseline_money_diff,0.2-0.3,0.2,0.3,13,False,0.246865,0.307692,election_date>=2014-01-01
two_party_or_strongest,baseline_money_diff,0.3-0.4,0.3,0.4,11,False,0.344852,0.545455,election_date>=2014-01-01
two_party_or_strongest,baseline_money_diff,0.4-0.5,0.4,0.5,11,False,0.455909,0.545455,election_date>=2014-01-01
two_party_or_strongest,baseline_money_diff,0.5-0.6,0.5,0.6,13,False,0.548529,0.692308,election_date>=2014-01-01
two_party_or_strongest,baseline_money_diff,0.6-0.7,0.6,0.7,19,False,0.641868,0.842105,election_date>=2014-01-01
two_party_or_strongest,baseline_money_diff,0.7-0.8,0.7,0.8,42,False,0.751244,0.928571,election_date>=2014-01-01
two_party_or_strongest,baseline_money_diff,0.8-0.9,0.8,0.9,36,False,0.855424,0.861111,election_date>=2014-01-01
two_party_or_strongest,baseline_money_diff,0.9-1.0,0.9,1.0,179,False,0.975929,1.0,election_date>=2014-01-01
two_party_or_strongest,baseline_money_both,0.0-0.1,0.0,0.1,52,False,0.037043,0.019231,election_date>=2014-01-01
two_party_or_strongest,baseline_money_both,0.1-0.2,0.1,0.2,25,False,0.147765,0.08,election_date>=2014-01-01
two_party_or_strongest,baseline_money_both,0.2-0.3,0.2,0.3,13,False,0.243202,0.307692,election_date>=2014-01-01
two_party_or_strongest,baseline_money_both,0.3-0.4,0.3,0.4,11,False,0.348898,0.545455,election_date>=2014-01-01
two_party_or_strongest,baseline_money_both,0.4-0.5,0.4,0.5,11,False,0.452716,0.636364,election_date>=2014-01-01
two_party_or_strongest,baseline_money_both,0.5-0.6,0.5,0.6,18,False,0.549938,0.777778,election_date>=2014-01-01
two_party_or_strongest,baseline_money_both,0.6-0.7,0.6,0.7,18,False,0.657313,0.833333,election_date>=2014-01-01
two_party_or_strongest,baseline_money_both,0.7-0.8,0.7,0.8,30,False,0.743829,0.9,election_date>=2014-01-01
two_party_or_strongest,baseline_money_both,0.8-0.9,0.8,0.9,30,False,0.850562,0.9,election_date>=2014-01-01
two_party_or_strongest,baseline_money_both,0.9-1.0,0.9,1.0,190,False,0.981068,0.994737,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio_wide,0.0-0.1,0.0,0.1,50,False,0.039423,0.02,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio_wide,0.1-0.2,0.1,0.2,21,False,0.147512,0.047619,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio_wide,0.2-0.3,0.2,0.3,15,False,0.229525,0.2,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio_wide,0.3-0.4,0.3,0.4,14,False,0.346009,0.5,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio_wide,0.4-0.5,0.4,0.5,8,True,0.449641,0.625,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio_wide,0.5-0.6,0.5,0.6,15,False,0.551767,0.733333,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio_wide,0.6-0.7,0.6,0.7,18,False,0.63784,0.777778,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio_wide,0.7-0.8,0.7,0.8,37,False,0.752997,0.918919,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio_wide,0.8-0.9,0.8,0.9,34,False,0.859577,0.911765,election_date>=2014-01-01
two_party_or_strongest,baseline_money_logratio_wide,0.9-1.0,0.9,1.0,186,False,0.978196,0.994624,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_share,0.0-0.1,0.0,0.1,55,False,0.036191,0.036364,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_share,0.1-0.2,0.1,0.2,17,False,0.140713,0.058824,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_share,0.2-0.3,0.2,0.3,15,False,0.265308,0.266667,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_share,0.3-0.4,0.3,0.4,24,False,0.360016,0.541667,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_share,0.4-0.5,0.4,0.5,8,True,0.435734,0.625,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_share,0.5-0.6,0.5,0.6,18,False,0.542181,0.833333,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_share,0.6-0.7,0.6,0.7,16,False,0.662375,0.75,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_share,0.7-0.8,0.7,0.8,19,False,0.768487,1.0,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_share,0.8-0.9,0.8,0.9,28,False,0.855147,0.964286,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_share,0.9-1.0,0.9,1.0,198,False,0.981343,0.979798,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_logratio,0.0-0.1,0.0,0.1,52,False,0.034536,0.019231,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_logratio,0.1-0.2,0.1,0.2,22,False,0.153955,0.090909,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_logratio,0.2-0.3,0.2,0.3,13,False,0.239356,0.230769,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_logratio,0.3-0.4,0.3,0.4,13,False,0.342404,0.461538,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_logratio,0.4-0.5,0.4,0.5,9,True,0.461931,0.555556,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_logratio,0.5-0.6,0.5,0.6,17,False,0.538676,0.705882,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_logratio,0.6-0.7,0.6,0.7,17,False,0.651537,0.882353,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_logratio,0.7-0.8,0.7,0.8,33,False,0.746686,0.909091,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_logratio,0.8-0.9,0.8,0.9,29,False,0.853746,0.931034,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_logratio,0.9-1.0,0.9,1.0,193,False,0.979126,0.989637,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_diff,0.0-0.1,0.0,0.1,48,False,0.047008,0.020833,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_diff,0.1-0.2,0.1,0.2,20,False,0.150606,0.05,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_diff,0.2-0.3,0.2,0.3,21,False,0.245315,0.238095,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_diff,0.3-0.4,0.3,0.4,8,True,0.358344,0.625,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_diff,0.4-0.5,0.4,0.5,10,False,0.468163,0.4,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_diff,0.5-0.6,0.5,0.6,12,False,0.541219,0.75,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_diff,0.6-0.7,0.6,0.7,25,False,0.65302,0.88,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_diff,0.7-0.8,0.7,0.8,34,False,0.750676,0.882353,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_diff,0.8-0.9,0.8,0.9,42,False,0.84894,0.904762,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_diff,0.9-1.0,0.9,1.0,178,False,0.972525,0.994382,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_both,0.0-0.1,0.0,0.1,52,False,0.033238,0.019231,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_both,0.1-0.2,0.1,0.2,22,False,0.154869,0.090909,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_both,0.2-0.3,0.2,0.3,16,False,0.240477,0.25,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_both,0.3-0.4,0.3,0.4,10,False,0.355438,0.5,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_both,0.4-0.5,0.4,0.5,9,True,0.451153,0.555556,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_both,0.5-0.6,0.5,0.6,18,False,0.54259,0.722222,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_both,0.6-0.7,0.6,0.7,16,False,0.655789,0.875,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_both,0.7-0.8,0.7,0.8,34,False,0.751335,0.911765,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_both,0.8-0.9,0.8,0.9,29,False,0.854341,0.931034,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_both,0.9-1.0,0.9,1.0,192,False,0.979124,0.989583,election_date>=2014-01-01
two_party_or_strongest,baseline_spend_logratio_wide,0.0-0.1,0.0,0.1,54,False,0.036252,0.018519,election_date>=2014-01-01
