definition,response,races,pooled_holdout,holdout_specials,smallest_training_fold,folds,general_dates,special_dates,skipped_dates,fold_schedule,train_only,train_only_races,training_specials
current,dem_margin,623,424,24,199,23,6,17,"2023-05-30,2024-03-05",election_date>=2014-01-01,none,0.0,37.0
two_party,dem_margin_two_party,517,346,22,171,22,6,16,"2017-07-25,2023-05-30,2024-03-05",election_date>=2014-01-01,none,0.0,31.0
two_party_or_strongest,dem_margin_two_party_or_strongest,610,413,24,197,23,6,17,"2023-05-30,2024-03-05",election_date>=2014-01-01,none,0.0,37.0
generals_only,dem_margin_two_party_or_strongest,610,389,0,201,6,6,0,"2014-01-07,2014-04-01,2015-03-31,2015-11-03,2016-03-01,2016-05-10,2017-07-25,2017-10-17,2017-11-07,2017-12-05,2018-04-03,2020-03-03,2020-05-19,2020-06-02,2021-03-30,2021-11-30,2023-05-30,2023-11-07,2024-03-05",election_date>=2014-01-01,special_elections,37.0,37.0
no_dem_excluded,dem_margin,610,413,24,197,23,6,17,"2023-05-30,2024-03-05",election_date>=2014-01-01,none,0.0,37.0
no_dem_train_only,dem_margin,623,413,24,199,23,6,17,"2023-05-30,2024-03-05",election_date>=2014-01-01,none,13.0,37.0
write_in_5pct,dem_margin,625,426,24,199,23,6,17,"2023-05-30,2024-03-05",election_date>=2014-01-01,none,0.0,37.0
