race_year,pvi_year,pres_year_earlier,pres_year_later,redistricting_cycle
2010,2008,2004,2008,2001
2011,2008,2004,2008,2001
2012,2008,2004,2008,2011
2013,2012,2008,2012,2011
2014,2012,2008,2012,2011
2015,2012,2008,2012,2011
2016,2012,2008,2012,2011
2017,2016,2012,2016,2011
2018,2016,2012,2016,2011
2019,2016,2012,2016,2011
2020,2016,2012,2016,2011
2021,2020,2016,2020,2011
2022,2020,2016,2020,2021
2023,2020,2016,2020,2021
2024,2020,2016,2020,2021
2025,2024,2020,2024,2021
2026,2024,2020,2024,2021
